task,subset,examples,accuracy,macro_f1
task1,answer_length_top_quartile,2064,0.7078488372093024,0.5278427681412756
task1,president=Joseph R. Biden,584,0.613013698630137,0.5279618715476521
task1,likely_truncated,1848,0.7153679653679653,0.5382638843062407
task1,president=George W. Bush,1328,0.6626506024096386,0.6395949976075137
task1,not_multipart_question,6000,0.676,0.6429237891194682
task1,not_truncated,6136,0.6808996088657105,0.6545184740476042
task1,likely_multipart_question,1984,0.7278225806451613,0.6616755657150303
task1,president=Barack Obama,1640,0.751219512195122,0.6897124601710211
task1,president=Donald J. Trump,1968,0.709349593495935,0.6948061809156144
task1,answer_length_bottom_quartile,1984,0.7237903225806451,0.7213249408136709
task2,president=Joseph R. Biden,640,0.3703125,0.27788370955164754
task2,president=George W. Bush,1202,0.4018302828618968,0.32208747647855657
task2,answer_length_top_quartile,1825,0.3424657534246575,0.3433051487755749
task2,likely_multipart_question,1720,0.34767441860465115,0.35551525363420655
task2,likely_truncated,1682,0.33590963139120095,0.3650668776971393
task2,president=Barack Obama,1535,0.36091205211726385,0.36647289375449255
task2,not_truncated,6038,0.43474660483603844,0.3806345178643293
task2,not_multipart_question,6000,0.432,0.38407749836402444
task2,president=Donald J. Trump,2143,0.5053663089127391,0.4384698708923043
task2,answer_length_bottom_quartile,2032,0.5954724409448819,0.4503950183591729
